No.,Time,Source,Destination,Protocol,Length,Info,SourcePort,DestinationPort
30778,253.895815,192.168.1.41,117.219.237.13,QUIC,79,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30779,253.896949,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30780,253.897768,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30781,253.898243,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30782,253.899106,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30783,253.899974,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30784,253.900079,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30785,253.900315,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30786,253.901198,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30787,253.901756,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30788,253.901908,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30789,253.903402,192.168.1.41,117.219.237.13,QUIC,79,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30790,253.90382,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30791,253.904102,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30792,253.904102,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30793,253.904826,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30794,253.905178,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30795,253.905213,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30796,253.905488,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30797,253.906787,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30798,253.906981,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30799,253.90741,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30800,253.907934,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30801,253.908549,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30802,253.908704,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30803,253.910055,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30804,253.91015,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30805,253.91015,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30806,253.910993,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30807,253.911259,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30808,253.911602,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30809,253.912175,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30810,253.912755,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30811,253.912834,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30812,253.912881,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30813,253.914088,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30814,253.914224,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30815,253.91469,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30816,253.915245,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30817,253.915473,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30818,253.915851,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30819,253.91644,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30820,253.916519,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30821,253.917954,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30822,253.918125,192.168.1.41,117.219.237.13,QUIC,83,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
